dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
Credit Card,1,Baseline D - Early Exit BranchyNet,0.999275,0.0020456314086914062,1.00195,0.7793706293706294,0.0,0.6660166666666667,0.0015943050384521484,,
Credit Card,1,Full GBM,0.99845,0.01737666130065918,100.0,1.0,0.0,0.0,0.01737666130065918,,
Credit Card,1,LazyGBM,0.99845,0.13140869140625,95.843825,0.13223372909893172,0.0,0.041561750000000064,0.01737666130065918,,3.0
MNIST,2,Baseline A - Full RF,0.9689,0.03981137275695801,100.0,1.0,0.0,0.0,0.03981137275695801,,
MNIST,2,Baseline B - Fixed Cascade,0.9689,0.35901331901550293,43.846,0.11089107464349776,0.0,0.56154,0.03981137275695801,,
MNIST,2,Cascade RF (Two-Stage),0.9689,0.04864335060119629,49.09,0.8184340154392844,0.0,0.5090999999999999,0.03981137275695801,0.9,
MNIST,2,LazyRF,0.9689,0.562218189239502,17.562,0.07081125000742118,0.0,0.82438,0.03981137275695801,0.95,
MNIST,2,Baseline C - QuickScorer,0.9689,117.68296217918396,100.0,0.0003382934285452575,0.0,0.0,0.03981137275695801,,
MNIST,2,Baseline D - Full BranchyNet,0.9745,0.0008013248443603516,3.0,1.0,0.0,0.0,0.0008013248443603516,,
MNIST,2,Baseline D - Early Exit BranchyNet,0.9745,0.0011146068572998047,1.1172,0.7189304812834224,0.0,0.6275999999999999,0.0008013248443603516,,
MNIST,2,Full GBM,0.9458,0.15314173698425293,100.0,1.0,0.0,0.0,0.15314173698425293,,
MNIST,2,LazyGBM,0.9418,2.2488131523132324,81.0,0.06809891556651752,0.0040000000000000036,0.18999999999999995,0.15314173698425293,,3.0
Covertype,2,Baseline A - Full RF,0.92885,0.06398248672485352,100.0,1.0,0.0,0.0,0.06398248672485352,,
Covertype,2,Baseline B - Fixed Cascade,0.928875,1.148115634918213,44.444,0.05572826009760887,-2.5000000000052758e-05,0.55556,0.06398248672485352,,
Covertype,2,Cascade RF (Two-Stage),0.928875,0.06730175018310547,50.3475,0.95068087458021,-2.5000000000052758e-05,0.496525,0.06398248672485352,0.9,
Covertype,2,LazyRF,0.9281,1.7079403400421143,19.16275,0.03746178085077365,0.0007499999999999174,0.8083725,0.06398248672485352,0.95,
Covertype,2,Baseline C - QuickScorer,0.92885,289.5344521999359,100.0,0.00022098401844306554,0.0,0.0,0.06398248672485352,,
Covertype,2,Baseline D - Full BranchyNet,0.84445,0.0016613006591796875,3.0,1.0,0.0,0.0,0.0016613006591796875,,
Covertype,2,Baseline D - Early Exit BranchyNet,0.83955,0.002427816390991211,2.072,0.6842777177649023,0.0049000000000000155,0.30933333333333335,0.0016613006591796875,,
Covertype,2,Full GBM,0.7737,0.2383863925933838,100.0,1.0,0.0,0.0,0.2383863925933838,,
Covertype,2,LazyGBM,0.76815,0.8791301250457764,80.99985,0.2711616697027314,0.005550000000000055,0.19000150000000005,0.2383863925933838,,3.0
Higgs,2,Baseline A - Full RF,0.7204,0.06448793411254883,100.0,1.0,0.0,0.0,0.06448793411254883,,
Higgs,2,Baseline B - Fixed Cascade,0.720175,2.0500364303588867,82.13575,0.03145696981651167,0.00022500000000003073,0.17864250000000004,0.06448793411254883,,
Higgs,2,Cascade RF (Two-Stage),0.720175,0.0835578441619873,90.705,0.7717759446681143,0.00022500000000003073,0.09294999999999998,0.06448793411254883,0.9,
Higgs,2,LazyRF,0.718825,1.0211491584777832,39.51625,0.06315231577792253,0.001574999999999993,0.6048375,0.06448793411254883,0.95,
Higgs,2,Baseline C - QuickScorer,0.7204,284.7885947227478,100.0,0.00022644142113672147,0.0,0.0,0.06448793411254883,,
Higgs,2,Baseline D - Full BranchyNet,0.73255,0.0016100406646728516,3.0,1.0,0.0,0.0,0.0016100406646728516,,
Higgs,2,Baseline D - Early Exit BranchyNet,0.732325,0.002137422561645508,2.415025,0.7532626882320134,0.00022500000000003073,0.19499166666666667,0.0016100406646728516,,
Higgs,2,Full GBM,0.710525,0.04614067077636719,100.0,1.0,0.0,0.0,0.04614067077636719,,
Higgs,2,LazyGBM,0.710525,0.15305018424987793,77.737175,0.3014741276040247,0.0,0.22262825000000008,0.04614067077636719,,3.0
Credit Card,2,Baseline A - Full RF,0.99945,0.027443647384643555,100.0,1.0,0.0,0.0,0.027443647384643555,,
Credit Card,2,Baseline B - Fixed Cascade,0.99945,0.2132577896118164,10.1005,0.12868766685895974,0.0,0.898995,0.027443647384643555,,
Credit Card,2,Cascade RF (Two-Stage),0.99945,0.046851158142089844,10.1325,0.5857624117084291,0.0,0.898675,0.027443647384643555,0.9,
Credit Card,2,LazyRF,0.99945,0.19588232040405273,10.02325,0.1401027276378729,0.0,0.8997675,0.027443647384643555,0.95,
Credit Card,2,Baseline C - QuickScorer,0.99945,274.8678832054138,100.0,9.984304846606765e-05,0.0,0.0,0.027443647384643555,,
Credit Card,2,Baseline D - Full BranchyNet,0.9991,0.0016016960144042969,3.0,1.0,0.0,0.0,0.0016016960144042969,,
Credit Card,2,Baseline D - Early Exit BranchyNet,0.9991,0.002063274383544922,1.001525,0.7762884215391727,0.0,0.6661583333333334,0.0016016960144042969,,
Credit Card,2,Full GBM,0.99855,0.017531394958496094,100.0,1.0,0.0,0.0,0.017531394958496094,,
Credit Card,2,LazyGBM,0.99855,0.07458043098449707,18.97715,0.23506695693593296,0.0,0.8102285,0.017531394958496094,,3.0
MNIST,3,Baseline A - Full RF,0.9695,0.03967714309692383,100.0,1.0,0.0,0.0,0.03967714309692383,,
