dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
Credit Card,1,LazyGBM[s=4.00],0.99845,0.13112902641296387,95.843825,0.13511759197810888,0.0,0.041561750000000064,0.017717838287353516,,4.0
MNIST,2,LazyRF[t=0.900],0.9686,0.5389647483825684,15.305,0.07335279144928164,0.00029999999999996696,0.84695,0.039534568786621094,0.9,
MNIST,2,LazyRF[t=0.970],0.9691,0.5674929618835449,18.906,0.0696653023773253,-0.00019999999999997797,0.81094,0.039534568786621094,0.97,
MNIST,2,LazyRF[t=0.990],0.9689,0.5928661823272705,22.149,0.06668379807299829,0.0,0.77851,0.039534568786621094,0.99,
MNIST,2,LazyGBM[s=2.00],0.9418,2.283804178237915,81.0,0.06626422948022903,0.0040000000000000036,0.18999999999999995,0.15133452415466309,,2.0
MNIST,2,LazyGBM[s=4.00],0.9418,2.29797101020813,81.0,0.06585571509927644,0.0040000000000000036,0.18999999999999995,0.15133452415466309,,4.0
Covertype,2,LazyRF[t=0.900],0.927425,1.5887625217437744,16.504,0.037250180191252584,0.0014249999999998986,0.8349599999999999,0.05918169021606445,0.9,
Covertype,2,LazyRF[t=0.970],0.928725,1.8642339706420898,21.4335,0.031745849044731635,0.00012499999999993072,0.7856650000000001,0.05918169021606445,0.97,
Covertype,2,LazyRF[t=0.990],0.928875,2.0999295711517334,25.72425,0.02818270242444631,-2.5000000000052758e-05,0.7427575,0.05918169021606445,0.99,
Covertype,2,LazyGBM[s=2.00],0.76815,0.8610780239105225,80.9995,0.2751715779858529,0.005550000000000055,0.19000499999999998,0.23694419860839844,,2.0
Covertype,2,LazyGBM[s=4.00],0.76815,0.8636388778686523,80.999925,0.27435564178530925,0.005550000000000055,0.19000074999999994,0.23694419860839844,,4.0
Higgs,2,LazyRF[t=0.900],0.7177,0.8790743350982666,32.86575,0.07072838988854399,0.0027000000000000357,0.6713425,0.06217551231384277,0.9,
Higgs,2,LazyRF[t=0.970],0.720075,1.210080623626709,48.30925,0.05138129732835302,0.0003250000000000197,0.5169075000000001,0.06217551231384277,0.97,
Higgs,2,LazyRF[t=0.990],0.720125,1.412689208984375,56.52475,0.044012166241818064,0.0002750000000000252,0.4347525,0.06217551231384277,0.99,
Higgs,2,LazyGBM[s=2.00],0.710525,0.14618206024169922,71.724675,0.3147495156018606,0.0,0.28275324999999996,0.046010732650756836,,2.0
Higgs,2,LazyGBM[s=4.00],0.710525,0.15422296524047852,81.2362,0.2983390481373037,0.0,0.18763800000000008,0.046010732650756836,,4.0
Credit Card,2,LazyRF[t=0.900],0.99945,0.19100284576416016,10.0185,0.13829444630294435,0.0,0.899815,0.02641463279724121,0.9,
